id,pop
ID_01,Idaho
ID_02,Idaho
ID_03,Idaho
ID_04,Idaho
ID_05,Idaho
ID_06,Idaho
ID_07,Idaho
ID_08,Idaho
ID_09,Idaho
ID_10,Idaho
MN_01,Minnesota
MN_02,Minnesota
MN_03,Minnesota
MN_04,Minnesota
MN_05,Minnesota
MN_06,Minnesota
MN_07,Minnesota
MN_08,Minnesota
MN_09,Minnesota
MN_10,Minnesota
MN_11,Minnesota
MN_12,Minnesota
MN_13,Minnesota
MN_14,Minnesota
MN_15,Minnesota
MN_16,Minnesota
MN_17,Minnesota
MN_18,Minnesota
MN_19,Minnesota
MN_20,Minnesota
MN_21,Minnesota
MN_22,Minnesota
MN_23,Minnesota
MN_24,Minnesota
MN_25,Minnesota
MN_26,Minnesota
MN_27,Minnesota
MN_28,Minnesota
MN_29,Minnesota
MN_30,Minnesota
MN_31,Minnesota
MN_32,Minnesota
MN_33,Minnesota
MN_34,Minnesota
MN_35,Minnesota
MN_37,Minnesota
MN_38,Minnesota
MN_39,Minnesota
MT_01,Montana
MT_02,Montana
MT_03,Montana
MT_04,Montana
MT_05,Montana
MT_06,Montana
MT_07,North_MT
MT_08,North_MT
MT_09,North_MT
MT_10,North_MT
MT_12,North_MT
MT_13,North_MT
MT_14,North_MT
MT_15,North_MT
MT_17,North_MT
MT_18,North_MT
MT_19,Montana
MT_20,Montana
MT_21,Montana
MT_22,Montana
MT_23,Montana
MT_24,Montana
MT_25,Montana
MT_26,Montana
MT_27,Montana
MT_28,Montana
MT_29,Montana
MT_30,Montana
MT_31,Montana
NH_01,New Hampshire
NH_02,New Hampshire
NH_03,New Hampshire
NH_04,New Hampshire
NH_05,New Hampshire
NH_07,New Hampshire
NH_08,New Hampshire
NH_09,New Hampshire
NH_10,New Hampshire
NH_11,New Hampshire
NH_12,New Hampshire
NH_13,New Hampshire
NH_14,New Hampshire
NH_15,New Hampshire
NH_16,New Hampshire
NH_17,New Hampshire
NH_18,New Hampshire
NH_19,New Hampshire
NH_20,New Hampshire
NH_21,New Hampshire
NH_22,New Hampshire
NH_23,New Hampshire
NH_25,New Hampshire
NH_26,New Hampshire
NH_27,New Hampshire
NH_28,New Hampshire
NH_29,New Hampshire
NH_30,New Hampshire
NH_31,New Hampshire
NH_32,New Hampshire
NH_33,New Hampshire
NH_34,New Hampshire
NH_35,New Hampshire
NH_36,New Hampshire
NH_38,New Hampshire
NH_39,New Hampshire
NH_40,New Hampshire
NH_42,New Hampshire
NH_43,New Hampshire
NH_44,New Hampshire
NH_45,New Hampshire
NH_46,New Hampshire
NH_47,New Hampshire
NH_48,New Hampshire
NH_49,New Hampshire
NH_50,New Hampshire
NH_54,New Hampshire
NH_55,New Hampshire
NH_56,New Hampshire
NH_57,New Hampshire
NH_58,New Hampshire
NH_59,New Hampshire
NH_60,New Hampshire
WY_01,Wyoming
WY_02,Wyoming
WY_03,Wyoming
WY_04,Wyoming
WY_05,Wyoming
WY_06,Wyoming
WY_07,Wyoming
WY_08,Wyoming
WY_09,Wyoming
WY_10,Wyoming
WY_11,Wyoming
WY_12,Wyoming
WY_13,Wyoming
WY_14,Wyoming
WY_15,Wyoming
WY_18,Wyoming
WY_19,Wyoming
WY_20,Wyoming
WY_21,Wyoming
WY_22,Wyoming
WY_23,Wyoming
WY_25,Wyoming
WY_26,Wyoming
WY_27,Wyoming
WY_28,Wyoming
